Year,Mean Magnitude,Max Magnitude,Min Magnitude,Count
1950,5.988911290322581,8.6,4.5,248
1951,5.963444444444445,7.81,4.5,270
1952,5.835751295336787,9.0,4.5,386
1953,5.9954230769230765,7.9,4.5,260
1954,5.747730263157894,7.8,4.5,304
1955,5.910434782608696,7.52,4.5,253
1956,5.581801801801801,7.7,4.5,333
1957,6.007877094972067,8.6,4.5,358
1958,5.85068493150685,8.3,4.5,365
1959,5.767621621621622,7.9,4.5,370
1960,6.027260273972603,9.5,4.6,292
1961,5.922591240875913,7.6,4.5,274
1962,5.922386831275721,7.47,4.5,243
1963,5.9131267605633795,8.5,4.5,355
1964,5.790441767068272,9.2,4.5,498
1965,5.772007104795737,8.7,4.52,563
1966,5.651895833333333,8.1,4.5,480
1967,5.682072434607646,7.3,4.5,497
1968,5.721450777202072,8.2,4.5,579
1969,5.72615523465704,8.2,4.5,554
1970,5.72126455906822,8.0,4.5,601
1971,5.710787401574803,8.1,4.5,635
1972,5.716248062015504,8.0,4.58,645
1973,5.00764131897712,7.7,4.5,2972
1974,4.990514585381842,7.6,4.5,3051
1975,5.004167679222357,7.9,4.5,3292
1976,5.018442211055277,8.0,4.5,3582
1977,5.008306745032186,8.31,4.5,3573
1978,5.003800302571861,7.7,4.5,3305
1979,4.970692073170732,7.9,4.5,3280
1980,4.948635314483555,7.9,4.5,3466
1981,4.931586568083795,7.7,4.5,3246
1982,4.955608375778155,7.29,4.5,3534
1983,4.9764537444933925,7.6,4.5,4086
1984,4.9661009061964245,7.6,4.5,4083
1985,4.951774016267311,8.0,4.5,4549
1986,4.949180728241563,8.0,4.5,4504
1987,4.964607277289836,7.9,4.5,3985
1988,4.962599196383727,7.8,4.5,3982
1989,4.959799548985217,8.02,4.5,3991
1990,4.963752264492753,7.8,4.5,4416
1991,4.952012717045732,7.6,4.5,4089
1992,4.954033728350045,7.8,4.5,4388
1993,4.94487106017192,7.8,4.5,4188
1994,4.97046688899476,8.3,4.5,4198
1995,4.916171708564124,8.0,4.5,4694
1996,4.884313851423678,8.09,4.5,4671
1997,4.863265039232781,7.8,4.5,4588
1998,4.870494736842105,8.1,4.5,3800
1999,4.881893287435456,7.7,4.5,4067
2000,4.888930139720559,8.0,4.5,5010
2001,4.877055555555556,8.4,4.5,4680
2002,4.854169689641274,7.9,4.5,4962
2003,4.859836416747809,8.16,4.5,5135
2004,4.851332901973471,9.1,3.38,6182
2005,4.818403148007108,8.6,4.5,7878
2006,4.840689752650176,8.3,4.5,7075
2007,4.873732985013062,8.4,4.5,7273
2008,4.867211035357539,7.9,4.5,6307
2009,4.889649818301949,8.1,4.5,6054
2010,4.882107890722507,8.8,4.5,7211
2011,4.8577863631617415,9.1,4.5,9577
2012,4.822248743718593,8.6,4.5,7164
2013,4.808017792604948,8.3,4.5,7194
2014,4.786814627691568,8.2,4.5,8313
2015,4.800573069917332,8.3,4.5,7137
2016,4.802265930216894,7.9,4.5,7423
2017,4.8125,8.2,4.5,6356
2018,4.806952050220382,8.2,4.5,7487
2019,4.803171953255426,8.0,4.5,7188
2020,4.79903911302741,7.8,4.5,6494
2021,4.811426654740608,8.2,4.5,8944
2022,4.790967035797064,7.6,4.5,7766
2023,4.805086916742909,7.8,4.5,7651
2024,4.796025270758123,7.5,4.5,5540
